HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459818.28122,2022-08-26.7796460,bo,1.50,15.978,13.230,0.017,18.528,0.302,g
2459818.28266,2022-08-26.7810833,bo,1.50,16.028,13.305,0.018,17.306,0.288,g
2459823.34261,2022-08-31.8414938,bo,1.52,13.528,13.182,0.160,19.373,2.831,g
2459824.49132,2022-09-01.9903131,bG,1.48,16.125,13.188,0.016,19.271,0.270,g
2459824.49262,2022-09-01.9916112,bG,1.48,16.134,13.161,0.015,19.758,0.268,g
2459824.49391,2022-09-01.9928998,bG,1.45,16.144,13.148,0.014,19.989,0.261,g
2459825.60600,2022-09-03.1051042,bG,1.47,15.963,13.233,0.019,18.494,0.313,g
2459825.60860,2022-09-03.1076987,bG,1.45,15.976,13.195,0.017,19.139,0.302,g
2459829.26716,2022-09-06.7666030,bo,1.43,15.738,13.350,0.024,16.605,0.373,g
2459829.26840,2022-09-06.7678447,bo,1.46,15.570,13.313,0.027,17.178,0.434,g
2459829.26966,2022-09-06.7690996,bo,1.42,15.616,13.334,0.027,16.846,0.415,g
2459831.50487,2022-09-09.0045153,bG,1.49,15.952,13.306,0.020,17.287,0.312,g
2459831.50617,2022-09-09.0058126,bG,1.44,15.868,13.292,0.020,17.520,0.334,g
2459831.50747,2022-09-09.0071135,bG,1.50,15.836,13.260,0.020,18.044,0.341,g
2459833.56213,2022-09-11.0619619,bk,1.44,15.666,13.295,0.025,17.462,0.398,g
2459833.56337,2022-09-11.0632120,bk,1.56,15.754,13.304,0.023,17.330,0.369,g
2459833.56462,2022-09-11.0644609,bk,1.91,15.801,13.258,0.021,18.068,0.351,g
2459834.57665,2022-09-12.0765895,bk,1.48,16.020,13.289,0.018,17.549,0.289,g
2459834.57789,2022-09-12.0778310,bk,1.56,15.945,13.230,0.018,18.540,0.309,g
2459834.57913,2022-09-12.0790646,bk,1.47,16.038,13.246,0.017,18.266,0.285,g
2459837.31128,2022-09-14.8114732,bo,1.43,16.020,13.308,0.019,17.243,0.295,g
2459837.31251,2022-09-14.8127067,bo,1.38,15.949,13.234,0.018,18.473,0.310,g
2459837.31376,2022-09-14.8139508,bo,1.44,15.997,13.282,0.019,17.678,0.299,g
2459842.28046,2022-09-19.7811206,bo,1.43,16.015,13.191,0.017,19.206,0.294,g
2459842.28171,2022-09-19.7823752,bo,1.46,15.929,13.226,0.019,18.601,0.320,g
2459842.28297,2022-09-19.7836204,bo,1.44,15.893,13.125,0.017,20.418,0.326,g
2459844.48420,2022-09-21.9850620,bk,2.09,16.149,13.082,0.014,21.247,0.263,g
2459844.48544,2022-09-21.9863012,bk,2.08,16.226,13.110,0.013,20.710,0.246,g
2459844.48668,2022-09-21.9875386,bk,2.07,16.156,13.102,0.014,20.856,0.260,g
2459845.53836,2022-09-23.0393150,bG,1.50,16.113,13.119,0.014,20.542,0.266,g
2459845.53965,2022-09-23.0406083,bG,1.43,16.126,13.149,0.015,19.961,0.268,g
2459845.54095,2022-09-23.0419089,bG,1.46,16.110,13.123,0.015,20.464,0.278,g
2459846.52669,2022-09-24.0277388,bk,1.44,16.197,13.123,0.014,20.452,0.258,g
2459846.52793,2022-09-24.0289770,bk,1.38,16.235,13.166,0.014,19.647,0.244,g
2459846.52918,2022-09-24.0302282,bk,1.41,16.273,13.174,0.014,19.511,0.235,g
2459847.53110,2022-09-25.0322452,bk,1.96,16.161,13.202,0.015,19.021,0.260,g
2459847.53235,2022-09-25.0334953,bk,1.59,16.209,13.213,0.015,18.824,0.249,g
2459847.53358,2022-09-25.0347226,bk,1.58,16.160,13.215,0.014,18.809,0.257,g
2459848.52743,2022-09-26.0286708,bG,1.41,16.093,13.227,0.016,18.601,0.272,g
2459848.52873,2022-09-26.0299592,bG,1.38,16.148,13.258,0.016,18.068,0.266,g
2459848.53003,2022-09-26.0312585,bG,1.43,16.175,13.207,0.015,18.944,0.257,g
2459849.54139,2022-09-27.0427207,bk,1.47,15.431,13.196,0.028,19.130,0.494,g
2459849.54264,2022-09-27.0439591,bk,1.41,14.819,13.244,0.054,18.295,0.904,g
2459849.54389,2022-09-27.0452123,bk,1.47,14.100,13.292,0.109,17.506,1.750,g
2459850.49044,2022-09-27.9918560,bG,1.52,13.646,13.085,0.131,21.192,2.536,g
2459850.49303,2022-09-27.9944388,bG,1.55,13.192,13.189,0.222,19.258,3.898,g
2459851.48302,2022-09-28.9845228,bG,2.39,16.013,13.357,0.020,16.501,0.296,g
2459851.48432,2022-09-28.9858200,bG,2.39,15.962,13.299,0.019,17.394,0.305,g
2459851.48561,2022-09-28.9871136,bG,1.58,16.035,13.313,0.019,17.178,0.292,g
2459855.24904,2022-10-02.7508837,bo,2.39,15.768,13.381,0.025,16.121,0.371,g
2459855.51073,2022-10-03.0125954,bk,1.50,16.068,13.234,0.016,18.468,0.278,g
2459855.51198,2022-10-03.0138432,bk,1.53,16.114,13.336,0.018,16.806,0.269,g
2459855.51322,2022-10-03.0150826,bk,1.48,16.036,13.272,0.017,17.833,0.286,g
2459856.54991,2022-10-04.0518700,bG,1.48,15.903,13.259,0.020,18.046,0.328,g
2459856.55121,2022-10-04.0531631,bG,1.51,15.883,13.247,0.019,18.259,0.326,g
2459856.55250,2022-10-04.0544554,bG,1.45,15.927,13.245,0.018,18.286,0.313,g
2459857.54631,2022-10-05.0483496,bG,1.46,15.882,13.257,0.019,18.074,0.329,g
2459857.54761,2022-10-05.0496510,bG,1.47,15.835,13.243,0.020,18.314,0.341,g
2459857.54891,2022-10-05.0509490,bG,1.49,15.749,13.237,0.022,18.416,0.371,g
2459860.28607,2022-10-07.7883483,bo,1.50,15.398,13.325,0.032,16.993,0.511,g
2459860.28730,2022-10-07.7895776,bo,1.48,15.488,13.390,0.033,15.995,0.472,g
2459860.28853,2022-10-07.7908064,bo,1.49,15.437,13.292,0.031,17.505,0.494,g
2459866.26024,2022-10-13.7630149,bo,1.55,15.775,13.140,0.020,20.155,0.366,g
2459866.26147,2022-10-13.7642451,bo,1.53,15.806,13.163,0.020,19.722,0.357,g
2459866.26272,2022-10-13.7655016,bo,1.50,15.801,13.128,0.019,20.359,0.357,g
2459867.51706,2022-10-15.0199421,bG,1.41,16.125,13.127,0.015,20.388,0.268,g
2459867.51836,2022-10-15.0212339,bG,1.45,16.099,13.119,0.015,20.535,0.282,g
2459867.51966,2022-10-15.0225319,bG,1.39,16.015,13.117,0.016,20.560,0.302,g
2459868.51240,2022-10-16.0153535,bk,2.31,16.133,13.132,0.015,20.305,0.269,g
2459868.51364,2022-10-16.0165950,bk,2.29,16.099,13.153,0.015,19.894,0.283,g
2459868.51488,2022-10-16.0178285,bk,2.28,16.181,13.176,0.015,19.483,0.263,g
2459870.50421,2022-10-18.0073118,bG,1.54,16.128,13.226,0.016,18.610,0.267,g
2459870.50550,2022-10-18.0086106,bG,1.52,16.056,13.197,0.016,19.107,0.280,g
2459870.50679,2022-10-18.0098994,bG,1.54,16.111,13.216,0.016,18.763,0.273,g
2459871.51769,2022-10-19.0208807,bG,1.48,16.081,13.217,0.017,18.747,0.279,g
2459871.51898,2022-10-19.0221717,bG,1.49,16.063,13.272,0.017,17.834,0.278,g
2459872.50753,2022-10-20.0107936,bG,1.97,16.050,13.279,0.018,17.717,0.287,g
2459872.50884,2022-10-20.0120984,bG,1.67,16.083,13.313,0.017,17.171,0.276,g
2459872.51013,2022-10-20.0133835,bG,1.66,16.048,13.289,0.018,17.555,0.287,g
2459873.50691,2022-10-21.0102421,bk,2.18,16.191,13.327,0.017,16.946,0.253,g
2459873.50814,2022-10-21.0114817,bk,2.27,15.781,13.388,0.024,16.028,0.360,g
2459874.49647,2022-10-21.9998875,bk,2.02,16.140,13.347,0.018,16.645,0.263,g
2459874.49772,2022-10-22.0011373,bk,2.00,16.129,13.325,0.017,16.984,0.264,g
2459874.49897,2022-10-22.0023778,bk,1.97,16.179,13.328,0.016,16.929,0.252,g
2459876.25534,2022-10-23.7588803,bo,1.48,14.641,13.197,0.060,19.101,1.053,g
2459876.25659,2022-10-23.7601280,bo,1.45,14.053,13.439,0.124,15.287,1.742,g
2459877.49406,2022-10-24.9976820,bG,1.43,15.835,13.285,0.021,17.631,0.343,g
2459877.49536,2022-10-24.9989787,bG,1.53,15.887,13.274,0.021,17.797,0.332,g
2459877.49664,2022-10-25.0002642,bG,1.42,15.994,13.281,0.019,17.688,0.301,g
2459964.87067,2023-01-20.3748150,bG,1.44,15.541,13.403,0.031,15.808,0.446,g
2459964.87197,2023-01-20.3761081,bG,1.50,15.365,13.323,0.033,17.008,0.526,g
2459965.86983,2023-01-21.3739187,bk,1.50,15.627,13.389,0.028,16.019,0.414,g
2459965.87109,2023-01-21.3751690,bk,1.47,15.614,13.300,0.026,17.376,0.420,g
2459965.87233,2023-01-21.3764086,bk,2.04,15.675,13.368,0.026,16.330,0.397,g
2459966.86599,2023-01-22.3700122,bk,1.43,15.943,13.303,0.020,17.335,0.313,g
2459966.86725,2023-01-22.3712655,bk,1.48,15.932,13.353,0.021,16.550,0.317,g
2459966.86850,2023-01-22.3725144,bk,1.42,15.834,13.300,0.021,17.387,0.344,g
2459972.60977,2023-01-28.1134034,bo,2.04,15.967,13.321,0.019,17.038,0.304,g
2459972.61103,2023-01-28.1146688,bo,2.03,15.865,13.293,0.020,17.497,0.333,g
2459972.61228,2023-01-28.1159192,bo,2.04,15.793,13.318,0.022,17.079,0.353,g
2459982.82526,2023-02-07.3281203,bk,1.49,15.544,13.193,0.025,19.188,0.449,g
2459982.82651,2023-02-07.3293618,bk,1.48,15.488,13.219,0.027,18.738,0.470,g
2459982.82775,2023-02-07.3306038,bk,1.52,15.694,13.248,0.023,18.228,0.388,g
2459987.56331,2023-02-12.0657752,bo,1.49,15.810,13.260,0.021,18.030,0.353,g
2459987.56456,2023-02-12.0670253,bo,1.44,15.821,13.302,0.023,17.338,0.351,g
2459987.56581,2023-02-12.0682766,bo,1.48,15.978,13.336,0.019,16.821,0.303,g
2459988.83159,2023-02-13.3339472,bG,1.57,15.957,13.301,0.020,17.362,0.310,g
2459988.83288,2023-02-13.3352340,bG,1.51,15.909,13.286,0.020,17.601,0.320,g
2459988.83418,2023-02-13.3365320,bG,1.54,16.009,13.260,0.018,18.027,0.300,g
2459993.81362,2023-02-18.3155494,bk,1.44,16.169,13.319,0.017,17.082,0.259,g
2459993.81488,2023-02-18.3167968,bk,1.44,16.158,13.324,0.017,17.012,0.261,g
2459993.81613,2023-02-18.3180505,bk,1.45,16.183,13.285,0.016,17.628,0.256,g
2459995.80007,2023-02-20.3018134,bk,1.43,16.242,13.348,0.016,16.633,0.241,g
2459995.80130,2023-02-20.3030471,bk,1.40,16.214,13.293,0.015,17.494,0.245,g
2459995.80253,2023-02-20.3042748,bk,1.47,16.117,13.343,0.018,16.711,0.269,g
2459997.56572,2023-02-22.0673037,bo,2.21,16.059,13.340,0.019,16.745,0.286,g
2459997.56697,2023-02-22.0685525,bo,2.21,16.124,13.330,0.018,16.911,0.270,g
2459997.56822,2023-02-22.0697967,bo,2.24,16.038,13.357,0.019,16.491,0.291,g
2459998.79441,2023-02-23.2958783,bk,1.48,16.199,13.319,0.016,17.082,0.249,g
2459998.79564,2023-02-23.2971142,bk,1.41,16.211,13.333,0.016,16.857,0.247,g
2459998.79688,2023-02-23.2983561,bk,1.46,16.229,13.381,0.017,16.137,0.242,g
2459999.81248,2023-02-24.3138643,bk,1.44,16.170,13.345,0.017,16.666,0.258,g
2459999.81374,2023-02-24.3151129,bk,1.46,16.181,13.314,0.017,17.153,0.256,g
2459999.81498,2023-02-24.3163584,bk,1.40,16.200,13.315,0.016,17.141,0.249,g
2459999.83203,2023-02-24.3334098,bk,1.47,16.156,13.336,0.017,16.818,0.262,g
2459999.83327,2023-02-24.3346493,bk,1.45,16.290,13.322,0.015,17.032,0.234,g
2459999.83452,2023-02-24.3359028,bk,1.46,16.215,13.325,0.015,16.983,0.244,g
2460001.78635,2023-02-26.2875460,bG,1.47,16.093,13.258,0.017,18.060,0.276,g
2460001.78765,2023-02-26.2888432,bG,1.50,16.098,13.219,0.016,18.736,0.276,g
2460001.78894,2023-02-26.2901288,bG,1.43,16.018,13.199,0.017,19.076,0.294,g
2460002.79027,2023-02-27.2913667,bk,1.46,16.159,13.252,0.016,18.162,0.261,g
2460002.79151,2023-02-27.2926072,bk,1.47,16.217,13.254,0.014,18.126,0.244,g
2460002.79275,2023-02-27.2938537,bk,1.44,16.194,13.223,0.015,18.648,0.254,g
2460002.80311,2023-02-27.3042076,bG,1.57,16.046,13.187,0.017,19.281,0.287,g
2460002.80441,2023-02-27.3055074,bG,1.61,16.032,13.181,0.016,19.381,0.286,g
2460002.80570,2023-02-27.3068078,bG,1.52,16.078,13.227,0.016,18.584,0.277,g
2460003.84668,2023-02-28.3476878,bG,1.55,16.108,13.226,0.016,18.594,0.278,g
2460003.84798,2023-02-28.3489863,bG,1.58,16.056,13.192,0.016,19.188,0.283,g
2460003.84928,2023-02-28.3502814,bG,1.70,16.120,13.224,0.016,18.629,0.271,g
2460005.84422,2023-03-02.3450376,bk,1.57,16.251,13.277,0.014,17.736,0.235,g
2460005.84547,2023-03-02.3462886,bk,1.54,16.229,13.274,0.015,17.795,0.243,g
2460005.84671,2023-03-02.3475293,bk,1.50,16.246,13.255,0.014,18.128,0.237,g
2460005.84796,2023-03-02.3487725,bk,1.53,16.176,13.285,0.016,17.609,0.256,g
2460005.84919,2023-03-02.3500097,bk,1.49,16.229,13.278,0.015,17.735,0.244,g
2460005.85045,2023-03-02.3512657,bk,1.54,16.227,13.266,0.014,17.937,0.240,g
2460006.64088,2023-03-03.1416241,bo,1.46,16.119,13.283,0.017,17.649,0.268,g
2460006.64212,2023-03-03.1428563,bo,1.48,16.113,13.296,0.016,17.447,0.266,g
2460006.64336,2023-03-03.1441019,bo,1.40,16.108,13.318,0.017,17.096,0.268,g
2460008.76393,2023-03-05.2644650,bG,1.62,15.761,13.286,0.023,17.595,0.369,g
2460008.76523,2023-03-05.2657645,bG,1.59,15.740,13.362,0.025,16.405,0.372,g
2460008.76652,2023-03-05.2670612,bG,1.56,15.783,13.330,0.024,16.904,0.363,g
2460009.83431,2023-03-06.3347396,bk,1.51,16.059,13.320,0.018,17.049,0.282,g
2460009.83556,2023-03-06.3359967,bk,1.51,15.919,13.365,0.021,16.358,0.318,g
2460009.83680,2023-03-06.3372409,bk,1.52,15.972,13.346,0.019,16.649,0.304,g
2460011.82563,2023-03-08.3258790,bG,1.49,15.800,13.267,0.021,17.925,0.355,g
2460011.82693,2023-03-08.3271855,bG,1.51,16.007,13.311,0.019,17.204,0.301,g
2460011.82824,2023-03-08.3284986,bG,1.47,15.754,13.299,0.023,17.391,0.367,g
2460012.78879,2023-03-09.2889483,bk,1.40,15.836,13.298,0.021,17.410,0.343,g
2460012.79005,2023-03-09.2902062,bk,1.46,15.727,13.374,0.026,16.248,0.380,g
2460012.79129,2023-03-09.2914432,bk,1.51,15.842,13.293,0.022,17.489,0.344,g
2460013.79645,2023-03-10.2965138,bk,1.51,15.854,13.328,0.022,16.938,0.339,g
2460013.79770,2023-03-10.2977638,bk,1.45,15.911,13.316,0.020,17.125,0.321,g
2460019.89175,2023-03-16.3912332,bG,1.49,16.062,13.339,0.019,16.765,0.282,g
2460019.89304,2023-03-16.3925199,bG,1.47,16.163,13.361,0.018,16.429,0.259,g
2460019.89432,2023-03-16.3938056,bG,1.56,16.101,13.333,0.018,16.850,0.272,g
2460020.90670,2023-03-17.4060888,bG,1.54,16.133,13.311,0.017,17.190,0.269,g
2460020.90799,2023-03-17.4073763,bG,1.60,16.107,13.310,0.018,17.225,0.271,g
2460020.90929,2023-03-17.4086784,bG,1.48,16.044,13.318,0.019,17.096,0.286,g
2460021.74313,2023-03-18.2424344,bk,1.50,16.178,13.291,0.015,17.522,0.250,g
2460021.74437,2023-03-18.2436787,bk,1.41,16.190,13.340,0.016,16.758,0.249,g
2460021.74563,2023-03-18.2449368,bk,1.45,16.177,13.285,0.015,17.625,0.251,g
2460025.50221,2023-03-22.0011662,bo,2.30,15.969,13.215,0.018,18.790,0.310,g
2460025.50360,2023-03-22.0025546,bo,2.28,16.025,13.264,0.018,17.977,0.299,g
2460026.71598,2023-03-23.2148231,bk,1.52,16.139,13.180,0.014,19.396,0.259,g
2460026.71723,2023-03-23.2160732,bk,1.60,16.151,13.214,0.016,18.810,0.262,g
2460026.71847,2023-03-23.2173138,bk,1.61,16.090,13.203,0.016,18.996,0.276,g
2460026.76943,2023-03-23.2682667,bG,2.17,16.082,13.199,0.016,19.058,0.282,g
2460026.77073,2023-03-23.2695642,bG,2.19,16.136,13.196,0.016,19.127,0.267,g
2460026.77201,2023-03-23.2708508,bG,2.17,16.094,13.199,0.016,19.077,0.276,g
2460028.71116,2023-03-25.2098150,bG,2.15,16.088,13.243,0.017,18.314,0.277,g
2460028.71245,2023-03-25.2111071,bG,2.14,16.082,13.270,0.016,17.877,0.276,g
2460028.71374,2023-03-25.2123888,bG,2.14,16.047,13.227,0.017,18.580,0.286,g
2460029.70972,2023-03-26.2082839,bk,1.43,16.120,13.269,0.016,17.880,0.263,g
2460029.71096,2023-03-26.2095325,bk,1.43,16.120,13.224,0.015,18.635,0.265,g
2460029.71223,2023-03-26.2107883,bk,1.40,16.104,13.270,0.016,17.873,0.266,g
2460030.70693,2023-03-27.2054009,bG,1.57,16.082,13.274,0.017,17.812,0.279,g
2460030.70821,2023-03-27.2066881,bG,1.54,16.065,13.301,0.018,17.364,0.285,g
2460030.70951,2023-03-27.2079832,bG,1.52,16.031,13.282,0.018,17.661,0.289,g
2460030.75082,2023-03-27.2493005,bk,1.39,16.199,13.298,0.015,17.404,0.246,g
2460030.75208,2023-03-27.2505516,bk,1.42,16.201,13.310,0.016,17.210,0.249,g
2460030.75332,2023-03-27.2517888,bk,1.42,16.200,13.268,0.016,17.896,0.249,g
2460031.70993,2023-03-28.2083133,bG,1.56,16.114,13.309,0.016,17.239,0.267,g
2460031.71122,2023-03-28.2096009,bG,1.57,16.087,13.273,0.017,17.812,0.275,g
2460031.71252,2023-03-28.2109027,bG,1.52,16.107,13.265,0.017,17.952,0.271,g
2460032.73178,2023-03-29.2300719,bG,1.97,16.058,13.284,0.017,17.647,0.279,g
2460032.73309,2023-03-29.2313777,bG,1.64,16.108,13.276,0.017,17.769,0.273,g
2460032.73436,2023-03-29.2326571,bG,1.97,16.081,13.285,0.017,17.634,0.276,g
2460035.87841,2023-04-01.3764146,bk,1.97,16.185,13.282,0.015,17.665,0.248,g
2460035.87963,2023-04-01.3776409,bk,1.98,16.288,13.286,0.014,17.611,0.228,g
2460035.88089,2023-04-01.3789052,bk,1.99,16.253,13.305,0.014,17.292,0.235,g
2460036.85661,2023-04-02.3545386,bk,1.48,16.314,13.325,0.014,16.988,0.224,g
2460036.85784,2023-04-02.3557664,bk,1.52,16.196,13.277,0.015,17.748,0.249,g
2460036.85909,2023-04-02.3570171,bk,1.51,16.256,13.252,0.015,18.161,0.238,g
2460037.91441,2023-04-03.4122451,bG,1.46,16.090,13.285,0.016,17.621,0.274,g
2460037.91570,2023-04-03.4135326,bG,1.51,16.119,13.272,0.017,17.835,0.271,g
2460037.91699,2023-04-03.4148188,bG,1.41,16.029,13.293,0.019,17.487,0.291,g
2460039.50678,2023-04-05.0044740,bo,1.47,15.941,13.334,0.021,16.852,0.313,g
2460039.50821,2023-04-05.0059042,bo,1.55,15.746,13.316,0.024,17.115,0.373,g
2460039.50971,2023-04-05.0074086,bo,1.50,15.955,13.278,0.020,17.723,0.310,g
2460040.67894,2023-04-06.1765398,bG,1.56,15.569,13.327,0.028,16.947,0.434,g
2460040.68023,2023-04-06.1778231,bG,1.44,15.429,13.339,0.032,16.765,0.495,g
2460040.68152,2023-04-06.1791128,bG,1.47,15.538,13.324,0.029,16.987,0.447,g
2460041.68532,2023-04-07.1828229,bk,1.46,15.463,13.248,0.028,18.221,0.481,g
2460041.68656,2023-04-07.1840670,bk,1.46,15.562,13.356,0.029,16.508,0.438,g
2460042.85167,2023-04-08.3490760,bk,1.51,15.865,13.319,0.022,17.084,0.336,g
2460042.85291,2023-04-08.3503238,bk,1.46,15.799,13.380,0.025,16.153,0.356,g
2460042.85416,2023-04-08.3515688,bk,1.49,15.793,13.332,0.023,16.885,0.355,g
2460042.86624,2023-04-08.3636497,bG,1.56,15.850,13.325,0.021,16.989,0.339,g
2460042.86754,2023-04-08.3649497,bG,1.45,15.898,13.338,0.021,16.777,0.325,g
2460042.86883,2023-04-08.3662350,bG,1.45,15.803,13.340,0.023,16.759,0.351,g
2460046.79610,2023-04-12.2931868,bk,1.46,16.049,13.260,0.018,18.025,0.287,g
2460046.79734,2023-04-12.2944285,bk,1.39,16.000,13.302,0.018,17.345,0.297,g
2460046.79859,2023-04-12.2956773,bk,1.49,16.058,13.251,0.016,18.181,0.277,g